dataset	example_uid	question	answer	incorrect	correct	evidence
movieQA	1092	What does Ron do after he 's offered a job with GNN ?	He starts his own cable news network .	Ron starts his own cable news network after he 's offered a job with GNN .	After he 's offered a job with GNN , Ron reassembles his news team .	"After being fired from SeaWorld and botching a suicide attempt, Burgundy accepts a job offered to him by Freddie Shapp with GNN, the world's first 24-hour cable news network, for GNN's official launch.
"
movieQA	4172	Which cult resides at the Pankot Palace ?	The Thug cult	The Thug cult resides at the Pankot Palace .	The Thuggee cult resides at the Pankot Palace .	"Chattar Lal rebuffs Indy's questions about the villagers' claims and his theory that the ancient Thuggee cult is responsible for their troubles.
"
movieQA	11537	What does Linda do for a living ?	She is a nurse	Linda is a nurse for a living .	Linda words for a maid as a living .	"While he is able to sell most of them, the time lag between the sales and his growing financial demands enrage his already bitter and alienated wife Linda, who works as a hotel maid.
"
movieQA	1173	What was the main purpose for David 's construction ?	To spy on his owners	The main purpose for David 's construction was to spy on his owners .	The main purpose for David 's construction was to display love for his human owners .	"David, a prototype model created by Cybertronics of New Jersey, is designed to resemble a human child and to display love for its human owners.
"
movieQA	10683	Why did Jenny get kicked out of college ?	She was caught smoking pot	Jenny get kicked out of college when she was caught smoking pot .	Jenny got kicked out of college because of her posing for the cover of Playboy magazine .	"Jenny meanwhile had gotten herself thrown out of college after she exposes herself on the cover of Playboy Magazine and ""fulfills"" her aspirations of becoming a famous folk singer by performing nude at a strip club.
"
movieQA	3598	Why is Harry famous in the Wizarding World ?	He killed his own parents .	Harry is famous in the Wizarding World because he killed his own parents .	Harry is famous in the Wizarding World because he survived Lord Voldemort 's attack as a baby .	"On his eleventh birthday, Harry learns from a mysterious stranger, Rubeus Hagrid, that he is actually a wizard, famous in the Wizarding World for surviving an attack by the evil Lord Voldemort when Harry was only a baby.
"
movieQA	3960	What do the reanimated aliens offer to Jones and his group ?	Nothing	The reanimated aliens offer nothing to Jones and his group .	The reanimated aliens offer to Jones and his group a reward	"It suddenly flies from her hands to the skeleton and rejoins, whereupon the aliens reanimate and telepathically offer a reward in ancient Mayan through Oxley.
"
movieQA	6065	What happened on the Oberon after it crashed on Ashlar , according to its computer logs ?	Humans and apes started fighting and inadvertently exploded the ship .	According to it 's computer logs , humans and apes started fighting on the Oberon after it crashed on Ashlar and inadvertently exploded the ship .	According to its computer logs , after the Oberon crashed on Ashlar , the apes organized a mutiny and took control of the ship .	"The Oberon's log reveals that the apes on board, led by Semos, organized a mutiny and took control of the vessel after it crashed.
"
movieQA	6827	Who is Watto 's slave ?	Padme	Watto 's slave is Padme .	Anakin is Watto 's slave .	"There they meet the shop's owner Watto and his nine-year-old slave Anakin Skywalker, who is a gifted Podracer pilot and engineer, and has created a protocol droid called C-3PO.
"
movieQA	1662	Where is George from ?	New York	George is from New York .	George is from Massachusets .	"The film opens to a young George and his parents Fred and Ermine of Weymouth, Massachusetts.
"
